village,year,month,depth_meters
Karajkheda,2024,1,10.6
Khanapur-Vita,2024,1,6.1
Osmanabad,2024,1,10.3
Sancha,2024,1,4.5
Takiwiki,2024,1,7.1
Ter,2024,1,4.6
Vadgaon Siddheswar,2024,1,5.5
Yedshi,2024,1,5.4
Kukadgaon,2024,1,10.0
Pimpalwadi,2024,1,15.5
Sonari,2024,1,2.5
Andur,2024,1,6.2
Gandora,2024,1,9.3
Jalkot,2024,1,6.4
Mouje Barul,2024,1,8.9
Nandori,2024,1,8.8
Sarola,2024,1,6.1
Savargaon,2024,1,6.3
Tuljapur,2024,1,5.9
Ajnale,2024,1,3.8
Avdhan,2024,1,4.7
Borkund,2024,1,3.1
Dhule,2024,1,6.2
Kusumba,2024,1,7.9
Laling,2024,1,8.8
Mukti,2024,1,5.5
Narwhal,2024,1,1.6
Ner,2024,1,7.7
Phagne,2024,1,4.9
Purmepada(Pur),2024,1,5.4
Sarvad,2024,1,10.6
Babhulde,2024,1,8.4
Burdi Pada,2024,1,4.5
Charanmal,2024,1,0.3
Chhadwel,2024,1,8.2
Dhamnar,2024,1,8.1
Dusane,2024,1,13.8
Ichhapur,2024,1,7.5
Malpur,2024,1,8.7
Nizampur,2024,1,9.8
Pimpalner,2024,1,2.5
Sakri,2024,1,7.2
Chimthane,2024,1,8.8
Dhavda,2024,1,9.5
Dondaicha,2024,1,8.1
Methi,2024,1,9.0
Nardana,2024,1,6.3
Shewade,2024,1,11.7
Dahiwad,2024,1,30.0
Hadakhed,2024,1,4.9
Hisala,2024,1,20.3
Palasner,2024,1,4.7
Samaryapada,2024,1,2.4
Sangavi,2024,1,2.5
Saver,2024,1,4.7
Vikharan,2024,1,24.7
Allapalli,2024,1,7.2
Elchil,2024,1,4.2
Govindgaon,2024,1,5.6
Nandigaon,2024,1,8.1
Repanpalli,2024,1,7.8
Timiram,2024,1,5.4
Umanur,2024,1,7.1
Armori,2024,1,2.9
Delanwadi,2024,1,1.9
Khondala,2024,1,4.7
Kitadi,2024,1,6.2
Shankarpur,2024,1,6.1
Vihirgaon Kukdi,2024,1,5.1
Wadada,2024,1,4.2
Wadsa,2024,1,4.5
Wairagarh,2024,1,4.1
Ambatpalli,2024,1,5.4
Ashti,2024,1,4.2
Bori,2024,1,3.3
Chamorshi,2024,1,3.4
Chaudampalli,2024,1,1.9
Chaurampalli,2024,1,5.2
Ghot,2024,1,6.1
Konsari,2024,1,3.9
Mulchera,2024,1,4.3
Mulchera,2024,1,5.5
Talodhi Rampur,2024,1,7.1
Chatgaon,2024,1,4.5
Dhanora,2024,1,3.8
Mohali,2024,1,7.6
Rangi,2024,1,5.2
Itapalli,2024,1,7.8
Gadchiroli,2024,1,5.0
Govindpur,2024,1,4.4
Maregaon,2024,1,6.5
Porla,2024,1,4.3
Shivni,2024,1,1.3
Chandona Tola,2024,1,4.8
Gowardha,2024,1,3.8
Kurkhera,2024,1,4.1
Sonsari,2024,1,3.4
Uradi,2024,1,1.9
Bamni,2024,1,5.7
Amgaon,2024,1,1.1
Dahegaon,2024,1,1.9
Kalimati,2024,1,4.2
Dhabetekdi,2024,1,2.3
Navegaon,2024,1,3.2
Salebardi,2024,1,9.6
Deori,2024,1,2.6
Dongargaon,2024,1,9.5
Sondad,2024,1,3.3
Wadegaon,2024,1,1.8
Asoli,2024,1,6.6
Dandewadi,2024,1,2.9
Datora,2024,1,6.7
Khamari,2024,1,3.8
Khatiya,2024,1,3.6
Rajegaon,2024,1,3.6
Goregaon,2024,1,3.1
Murdoli,2024,1,2.2
Dongargaon,2024,1,7.2
Sategaon-Sakaritola,2024,1,3.5
Navegaon Ii (Khurd),2024,1,4.4
Sejgaon,2024,1,2.3
Tiroda,2024,1,3.9
Alegaon (Old),2024,1,7.4
Aral,2024,1,16.5
Babhulgaon,2024,1,7.8
Barashiv,2024,1,3.6
Basmat Shivar,2024,1,7.0
Chikhli,2024,1,10.1
Chondi Amba,2024,1,9.2
Churawa,2024,1,9.6
Kautha,2024,1,13.9
Padasugaon,2024,1,13.8
Sengaon,2024,1,13.7
Vai Gorakhnath,2024,1,9.7
Adgaon,2024,1,4.9
Aundha Nagnayh,2024,1,4.5
Hatta,2024,1,6.5
Hingoli,2024,1,2.9
Hivra,2024,1,4.2
Kanhergaon,2024,1,10.8
Kolsa,2024,1,6.2
Sawad,2024,1,3.5
Watkali,2024,1,8.0
Balapur Akhada,2024,1,6.0
Bolta,2024,1,5.7
Dongarkada,2024,1,3.4
Jamtrandh,2024,1,7.8
Khatta,2024,1,7.3
Salwa,2024,1,5.7
Toha,2024,1,3.0
Umara,2024,1,1.0
Amalner,2024,1,4.3
Nimjhari,2024,1,12.6
Takarkhede,2024,1,13.5
Bhadgaon,2024,1,8.3
Bodwad,2024,1,4.1
Jamthi,2024,1,4.2
Susari-Varangaon,2024,1,15.0
Adgaon,2024,1,5.3
Bodar,2024,1,4.8
Borkhede Kh,2024,1,7.5
Akhatwade,2024,1,15.8
Hated Budruk,2024,1,7.1
